TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.29,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.295,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.29895,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.3,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.305,337449,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.31,337466,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.315,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.32,337467,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.325,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.33,337471,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.335,337464,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.34,337462,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.345,337458,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.35,337458,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.355,337445,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.36,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.365,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.37,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.375,337447,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.38,337452,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.385,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.39,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.395,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.397532,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.4,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.405,337449,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.41,337454,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.415,337454,0,0,,,,,,,,,,,,,2,2,64,0,120,3,2,64,0,90,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.42,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.425,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.43,337469,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.435,337471,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.44,337473,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.445,337464,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.45,337472,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.455,337454,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.46,337467,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.465,337463,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.47,337452,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.475,337465,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.48,337471,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.485,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.49,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.495,337462,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.49604,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.5,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.505,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.51,337453,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.515,337462,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.52,337456,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.525,337461,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.53,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.535,337457,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.54,337465,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.545,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.55,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.555,337463,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.56,337462,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.565,337455,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.57,337451,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.575,337445,1,0,,,,,,,,,,,,,,,,,,,,,,,
0.58,337457,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.585,337443,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.59,337470,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.594408,,,,481,-191,1921,,,,,,,,,,,,,,,,,,,,
0.595,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.6,337459,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.605,337450,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.61,337457,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.615,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.62,337465,0,0,,,,,,,,,,,,,2,2,32,0,120,3,2,32,0,90,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.625,337445,90317,325754,,,,,,,,,,,,,,,,,,,,,,,
0.63,337455,90311,325701,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.635,337453,90233,325608,,,,,,,,,,,,,,,,,,,,,,,
0.64,337457,90226,325556,,,,,,,,,,,,,,,,,,,,,,,
