TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,ACC_X,ACC_Y,ACC_Z,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT,SENSOR EVENT
0.0,337491,0,0,-95,-191,2017,,,,,,,,,,2,0,128,0,120,3,0,128,0,90,
0.005,337484,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.01,337482,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.015,337484,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.02,337479,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.025,337471,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.03,337468,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.035,337472,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.04,337460,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.045,337481,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.05,337479,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.055,337477,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.06,337476,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.065,337481,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.07,337479,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.075,337471,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.08,337473,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.085,337475,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.09,337478,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.095,337485,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.1,337476,0,0,-767,1,1537,,,,,,,,,,,,,,,,,,,,
0.105,337476,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.11,337481,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.115,337473,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.12,337483,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.125,337481,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.13,337479,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.135,337477,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.14,337476,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.145,337480,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.15,337487,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.155,337472,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.16,337482,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.165,337484,0,0,,,,,,,,,,,,,,,,,,,,,,,0x00 0x00 0xF0 0x00 0x00 0x00 0x00 0x00 0x00
0.17,337474,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.175,337476,0,0,,,,,,,,,,,,,,,,,,,,,,,
0.18,337477,0,0,,,,,,,,,,,,,,,,,,,,,,,
